#Insert size (bp)	insert size
80.0	1.0
107.0	1.0
124.0	1.0
166.0	1.0
181.0	1.0
182.0	1.0
190.0	1.0
195.0	1.0
201.0	1.0
236.0	1.0
244.0	1.0
250.0	2.0
256.0	1.0
259.0	1.0
263.0	1.0
271.0	1.0
284.0	1.0
287.0	1.0
293.0	1.0
297.0	2.0
300.0	1.0
305.0	1.0
308.0	1.0
310.0	2.0
311.0	2.0
321.0	2.0
324.0	1.0
327.0	2.0
329.0	3.0
331.0	1.0
334.0	2.0
335.0	2.0
336.0	1.0
337.0	1.0
338.0	2.0
339.0	3.0
340.0	2.0
341.0	4.0
342.0	2.0
344.0	1.0
345.0	2.0
346.0	1.0
348.0	1.0
349.0	1.0
350.0	1.0
351.0	1.0
352.0	1.0
353.0	4.0
355.0	2.0
356.0	1.0
357.0	1.0
358.0	3.0
359.0	1.0
360.0	1.0
361.0	2.0
362.0	1.0
364.0	1.0
365.0	2.0
366.0	2.0
367.0	1.0
368.0	2.0
370.0	1.0
378.0	1.0
