#Coverage (X)	Coverage
1.0	0.39131504215022517
2.0	0.379140796394438
3.0	0.344357237092197
4.0	0.28833086121608176
5.0	0.24261532613313364
6.0	0.1940425701074986
7.0	0.12671153745816355
8.0	0.08807694123316878
9.0	0.05751709984619424
10.0	0.03801346123744054
11.0	0.02012477359629372
12.0	0.008198981835519703
13.0	0.004099490917752746
14.0	0.001242269975065824
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
