#Insert size (bp)	insert size
33.0	1.0
88.0	1.0
93.0	1.0
100.0	1.0
109.0	1.0
116.0	1.0
122.0	1.0
124.0	1.0
126.0	1.0
130.0	1.0
132.0	1.0
133.0	1.0
136.0	1.0
138.0	1.0
139.0	1.0
140.0	1.0
142.0	1.0
145.0	1.0
149.0	1.0
152.0	1.0
155.0	1.0
156.0	2.0
160.0	1.0
162.0	1.0
164.0	1.0
175.0	1.0
180.0	1.0
181.0	1.0
183.0	1.0
184.0	1.0
186.0	1.0
188.0	1.0
195.0	1.0
198.0	2.0
200.0	1.0
202.0	1.0
203.0	1.0
206.0	1.0
211.0	1.0
213.0	1.0
214.0	1.0
221.0	1.0
223.0	1.0
224.0	1.0
225.0	1.0
230.0	2.0
231.0	1.0
233.0	1.0
236.0	2.0
241.0	2.0
242.0	1.0
243.0	1.0
244.0	1.0
246.0	3.0
247.0	2.0
248.0	2.0
249.0	1.0
251.0	1.0
252.0	1.0
255.0	1.0
256.0	2.0
257.0	1.0
258.0	2.0
260.0	1.0
261.0	1.0
262.0	4.0
263.0	3.0
264.0	2.0
265.0	1.0
266.0	2.0
267.0	3.0
268.0	3.0
269.0	5.0
271.0	1.0
272.0	3.0
274.0	3.0
275.0	1.0
277.0	1.0
278.0	1.0
279.0	2.0
280.0	2.0
281.0	3.0
282.0	1.0
283.0	1.0
284.0	2.0
285.0	5.0
286.0	2.0
287.0	3.0
288.0	2.0
289.0	1.0
290.0	2.0
291.0	3.0
292.0	4.0
293.0	2.0
294.0	2.0
295.0	1.0
296.0	3.0
297.0	4.0
298.0	5.0
299.0	1.0
300.0	4.0
301.0	3.0
302.0	3.0
303.0	3.0
304.0	2.0
305.0	5.0
306.0	5.0
307.0	4.0
308.0	3.0
310.0	4.0
311.0	3.0
312.0	5.0
313.0	3.0
314.0	7.0
315.0	3.0
316.0	7.0
317.0	4.0
318.0	6.0
319.0	6.0
320.0	8.0
321.0	9.0
322.0	3.0
323.0	8.0
324.0	13.0
325.0	8.0
326.0	6.0
327.0	17.0
328.0	15.0
329.0	18.0
330.0	19.0
331.0	16.0
332.0	15.0
333.0	16.0
334.0	10.0
335.0	14.0
336.0	16.0
337.0	15.0
338.0	26.0
339.0	17.0
340.0	14.0
341.0	23.0
342.0	12.0
343.0	13.0
344.0	17.0
345.0	14.0
346.0	15.0
347.0	13.0
348.0	12.0
349.0	17.0
350.0	15.0
351.0	8.0
352.0	13.0
353.0	11.0
354.0	12.0
355.0	10.0
356.0	11.0
357.0	13.0
358.0	11.0
359.0	7.0
360.0	4.0
361.0	4.0
362.0	2.0
363.0	3.0
364.0	1.0
365.0	4.0
366.0	1.0
367.0	2.0
388.0	1.0
389.0	1.0
392.0	1.0
395.0	1.0
397.0	1.0
400.0	1.0
408.0	1.0
412.0	1.0
415.0	1.0
418.0	1.0
420.0	1.0
426.0	1.0
443.0	1.0
451.0	1.0
460.0	1.0
468.0	1.0
480.0	1.0
516.0	1.0
545.0	1.0
