#Coverage	Number of genomic locations
0.0	801774.0
2.0	1.0
5.0	5.0
6.0	14.0
7.0	24.0
8.0	12.0
9.0	28.0
10.0	29.0
11.0	56.0
12.0	61.0
13.0	87.0
14.0	77.0
15.0	109.0
16.0	123.0
17.0	108.0
18.0	76.0
19.0	79.0
20.0	55.0
21.0	80.0
22.0	95.0
23.0	74.0
24.0	62.0
25.0	123.0
26.0	122.0
27.0	105.0
28.0	101.0
29.0	123.0
30.0	49.0
31.0	36.0
32.0	31.0
33.0	23.0
34.0	46.0
35.0	21.0
36.0	16.0
37.0	19.0
38.0	26.0
39.0	32.0
40.0	34.0
41.0	34.0
42.0	31.0
43.0	26.0
44.0	36.0
45.0	18.0
46.0	23.0
47.0	26.0
48.0	28.0
49.0	7.0
50.0	9.0
51.0	11.0
52.0	16.0
53.0	8.0
54.0	8.0
55.0	12.0
56.0	8.0
57.0	10.0
58.0	14.0
59.0	6.0
60.0	5.0
61.0	11.0
62.0	11.0
63.0	6.0
64.0	3.0
65.0	1.0
67.0	8.0
68.0	2.0
69.0	2.0
70.0	1.0
71.0	1.0
72.0	4.0
73.0	4.0
74.0	3.0
75.0	3.0
76.0	5.0
77.0	1.0
78.0	3.0
79.0	1.0
80.0	4.0
81.0	3.0
82.0	1.0
83.0	4.0
84.0	3.0
85.0	1.0
86.0	4.0
87.0	1.0
88.0	3.0
89.0	4.0
90.0	3.0
91.0	3.0
92.0	4.0
93.0	3.0
94.0	7.0
95.0	5.0
96.0	6.0
97.0	7.0
98.0	5.0
99.0	10.0
100.0	6.0
101.0	10.0
103.0	5.0
104.0	15.0
105.0	12.0
106.0	8.0
107.0	14.0
108.0	17.0
109.0	5.0
110.0	4.0
111.0	2.0
112.0	2.0
113.0	7.0
114.0	1.0
115.0	7.0
116.0	8.0
117.0	3.0
118.0	12.0
119.0	6.0
120.0	5.0
121.0	6.0
122.0	3.0
123.0	8.0
124.0	17.0
125.0	8.0
126.0	5.0
127.0	7.0
128.0	4.0
129.0	4.0
130.0	6.0
131.0	9.0
132.0	9.0
133.0	6.0
134.0	10.0
135.0	8.0
136.0	7.0
137.0	15.0
138.0	9.0
139.0	12.0
140.0	16.0
141.0	24.0
142.0	18.0
143.0	12.0
144.0	11.0
145.0	8.0
146.0	6.0
147.0	7.0
148.0	4.0
149.0	22.0
150.0	22.0
151.0	19.0
152.0	11.0
153.0	7.0
154.0	17.0
155.0	16.0
156.0	8.0
157.0	6.0
158.0	6.0
159.0	5.0
160.0	5.0
161.0	2.0
162.0	1.0
