Sample	Top over-represented sequence	Sum of remaining over-represented sequences
1234N_1234N_M1_R1	1.72413793103	98.275862069
1234N_1234N_M1_R2	1.72413793103	98.275862069
1234N_1234N_M2_R1	3.22580645161	96.7741935484
1234N_1234N_M2_R2	3.22580645161	96.7741935484
1234N_1234N_M4_R1	1.40845070423	98.5915492958
1234N_1234N_M4_R2	2.81690140845	97.1830985915
1234N_1234N_M5_R1	1.96078431373	98.0392156863
1234N_1234N_M5_R2	1.96078431373	98.0392156863
1234N_1234N_M6_R1	2.12765957447	97.8723404255
1234N_1234N_M6_R2	2.12765957447	97.8723404255
1234N_1234N_M7_R1	1.26582278481	98.7341772152
1234N_1234N_M7_R2	1.26582278481	98.7341772152
9876T_9876T_M1_R1	0.459770114943	99.5402298851
9876T_9876T_M1_R2	0.459770114943	99.5402298851
9876T_9876T_M2_R1	0.500625782228	99.4993742178
9876T_9876T_M2_R2	0.375469336671	99.6245306633
9876T_9876T_M3_R1	0.606060606061	99.3939393939
9876T_9876T_M3_R2	0.363636363636	99.6363636364
9876T_9876T_M4_R1	0.428265524625	99.5717344754
9876T_9876T_M4_R2	0.428265524625	99.5717344754
9876T_9876T_M5_R1	0.448933782267	99.5510662177
9876T_9876T_M5_R2	0.448933782267	99.5510662177
