Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
1234N_1234N_M1_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M1_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M2_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M2_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M4_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M4_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M5_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M5_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M6_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M6_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M7_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
1234N_1234N_M7_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M1_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M1_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M2_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M2_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M3_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M3_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M4_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M4_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M5_R1										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
9876T_9876T_M5_R2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																																																																													
