,cycles-chameleon-2l-1c-9p-001,cycles-chameleon-1l-2c-9p-001,cycles-chameleon-1l-3c-9p-001,cycles-chameleon-1l-1c-12p-001,cycles-chameleon-2l-2c-9p-001,cycles-chameleon-5l-1c-9p-001,cycles-chameleon-2l-3c-9p-001,cycles-chameleon-2l-1c-12p-001,cycles-chameleon-1l-2c-12p-001,cycles-chameleon-1l-3c-12p-001,cycles-chameleon-10l-1c-9p-001,cycles-chameleon-5l-2c-9p-001,cycles-chameleon-2l-2c-12p-001,cycles-chameleon-5l-3c-9p-001,cycles-chameleon-5l-1c-12p-001,cycles-chameleon-2l-3c-12p-001,cycles-chameleon-10l-2c-9p-001,cycles-chameleon-10l-3c-9p-001,cycles-chameleon-10l-1c-12p-001,cycles-chameleon-5l-2c-12p-001,cycles-chameleon-5l-3c-12p-001
cycles-chameleon-1l-1c-9p-001,0.00604812282168686,0.006484684585942624,0.008688838459982235,0.0,0.007358308187934846,0.006935138368644153,0.00788597920241491,0.0018599010955073485,0.002004357053836811,0.002676531422422449,0.008137965840240647,0.008141202178828742,0.0022511719113773275,0.008554201229349216,0.002112901259614367,0.002408436907972871,0.008436856032284008,0.008539501014334924,0.0024715855941729492,0.002475164032391156,0.002598909991817548
cycles-chameleon-2l-1c-9p-001,0.0,0.005480558768381837,0.02973853904150219,0.005224889313933265,0.0032907354615231226,0.0034675691843220765,0.0038989324686811554,0.0,0.02146761714440114,0.0012389932942757603,0.003483259542622176,0.016212605684693918,0.0008508630051369063,0.005102695548317526,0.0007470234043254584,0.006124568713792749,0.004082898977902028,0.004287874167860186,0.003359291494884715,0.002826657383616016,0.0009655809649369097
cycles-chameleon-1l-2c-9p-001,,0.0,0.004344419229991118,0.0026124446569666324,0.024968731218762103,0.010593598843101465,0.004847009056396758,0.0035614394531688913,0.0,0.0,0.005906153908733399,0.005312753636675885,0.0013181512995196934,0.006590390476685428,0.001219884111009454,0.0009153468584574738,0.006443345363579923,0.0075641347637650435,0.001793760898529658,0.0016152327906377231,0.0013655376961830778
cycles-chameleon-1l-3c-9p-001,,,0.0,0.0060331825037707384,0.0032907354615231226,0.004004004004004004,0.002036151074632733,0.0034795563363370086,0.0030303030303030303,0.0046358884116902786,0.009928817324349673,0.005312753636675885,0.00076103500761035,0.00513558114464184,0.0016980068200152553,0.0009153468584574738,0.01161113047089648,0.0075641347637650435,0.001651649691005034,0.0019485875053119209,0.002002271305130382
cycles-chameleon-1l-1c-12p-001,,,,0.0,0.007358308187934846,0.006935138368644153,0.00788597920241491,0.0018599010955073485,0.002004357053836811,0.002676531422422449,0.008137965840240647,0.008141202178828742,0.0022511719113773275,0.008554201229349216,0.002112901259614367,0.002408436907972871,0.008436856032284008,0.008539501014334924,0.0024715855941729492,0.002475164032391156,0.002598909991817548
cycles-chameleon-2l-2c-9p-001,,,,,0.0,0.018045802179499446,0.013300083125519533,0.0036414817944667574,0.02336233931077163,0.002425812606632635,0.002011060834590246,0.0029271846861673194,0.0027439507423622444,0.005453541238224357,0.0018799676739765102,0.002062462148930175,0.002628475958940219,0.003998616591029608,0.003118121523387103,0.0014479293315789283,0.00048812534588424627
cycles-chameleon-5l-1c-9p-001,,,,,,0.0,0.0023511447420999088,0.0035614394531688913,0.004608153432044106,0.0037169798828272805,0.014149067148788627,0.012141954440208658,0.007047282792028971,0.012308993682327529,0.00043129416357825406,0.0016056246053152473,0.003809855475936948,0.00412702123507792,0.0031218580394351612,0.00034128021634612175,0.00028788062338383616
cycles-chameleon-2l-3c-9p-001,,,,,,,0.0,0.005475400570180698,0.005303030303030303,0.009782033184528941,0.001667483554728708,0.002008032128514056,0.0027439507423622444,0.00916234126042033,0.002972489888627314,0.0032709059981531163,0.003924586421983861,0.013031326007782508,0.0017003403154161008,0.0011005956274310101,0.0002493119331077026
cycles-chameleon-2l-1c-12p-001,,,,,,,,0.0,0.0016939908920452953,0.007153331119742514,0.009459470951345791,0.0078255307570883,0.0010067546845755671,0.006615885312606868,0.0010564506298071834,0.0015649692822972776,0.01095961674706894,0.020820129289442647,0.0015868536945202723,0.006469938459776142,0.001311358649030547
cycles-chameleon-1l-2c-12p-001,,,,,,,,,0.0,0.015174506828528073,0.006984637500980294,0.033506920875432215,0.0013181512995196934,0.011924604174578014,0.0010114744709836536,0.002650496701932102,0.007565447734801973,0.008344086145292926,0.001651649691005034,0.0016152327906377231,0.008095922799122352
