,1000genome-chameleon-2ch-250k-001,1000genome-chameleon-4ch-100k-001,1000genome-chameleon-6ch-100k-001,1000genome-chameleon-4ch-250k-001,1000genome-chameleon-8ch-100k-001,1000genome-chameleon-6ch-250k-001,1000genome-chameleon-10ch-100k-001,1000genome-chameleon-12ch-100k-001,1000genome-chameleon-8ch-250k-001,1000genome-chameleon-14ch-100k-001,1000genome-chameleon-10ch-250k-001,1000genome-chameleon-16ch-100k-001,1000genome-chameleon-18ch-100k-001,1000genome-chameleon-12ch-250k-001,1000genome-chameleon-20ch-100k-001,1000genome-chameleon-22ch-100k-001,1000genome-chameleon-14ch-250k-001,1000genome-chameleon-16ch-250k-001,1000genome-chameleon-18ch-250k-001,1000genome-chameleon-20ch-250k-001,1000genome-chameleon-22ch-250k-001
1000genome-chameleon-2ch-100k-001,0.09044037959393422,0.02715558177844998,0.019726423353771633,0.07278943357587092,0.026756408760948484,0.0784256793784217,0.010795523376893856,0.018725309942908712,0.04186395637657691,0.022100527192649596,0.04886337178271073,0.01640108756076805,0.021949834923867248,0.030661740343989052,0.01400284488830436,0.017446473039643487,0.025261119794665148,0.038695221068131856,0.039205827915022376,0.05168731483375904,0.04371518906574799
1000genome-chameleon-2ch-250k-001,0.0,0.13260387176741828,0.07729370804037074,0.01160992905613773,0.09142006763174063,0.009394876975979315,0.09330257311523978,0.059312423977187494,0.00793519600858154,0.06609214828576651,0.011458191152467618,0.06167292567850734,0.0719190301143049,0.028535638598747862,0.08176541192513438,0.06515905693162198,0.018018314768800767,0.010989188653793976,0.008963850784744324,0.01799734927493864,0.008527647005835677
1000genome-chameleon-4ch-100k-001,,0.0,0.01657351065083486,0.07356871006252155,0.0035996616477069255,0.08198767342550203,0.019029365721499616,0.012275466390566007,0.06284813836020157,0.015524732085364045,0.03763533810358989,0.008672985331817854,0.01640211253888394,0.048697330279734115,0.010641610342213234,0.016316359784055514,0.05519788136062778,0.05770503480404662,0.03446040577094159,0.04715471229230631,0.0488267584073945
1000genome-chameleon-6ch-100k-001,,,0.0,0.08871126612634526,0.007199323295413851,0.08294530840328254,0.005397761688446928,0.01035469215354053,0.06325384933420977,0.008578165876594813,0.06894473521018901,0.011147987990635743,0.010729095802263094,0.05239189987351388,0.01660631795980084,0.022695894704187154,0.05683515208730066,0.045032013343553355,0.050049542396967864,0.030995476968519918,0.05335679868111274
1000genome-chameleon-4ch-250k-001,,,,0.0,0.09930108855011006,0.006643181218128339,0.10695782358188273,0.09025406107661697,0.00776812053892916,0.08633311575290914,0.008988544657985936,0.08468841595316105,0.08196323525216266,0.007574205236384497,0.07860411283859405,0.08899401780160206,0.01972934702515014,0.00644778219926943,0.00919373042454877,0.009400853900798416,0.0077320668917351875
1000genome-chameleon-8ch-100k-001,,,,,0.0,0.08773553954731284,0.01215566892563138,0.004503864848321959,0.08327231138480998,0.018559708708772427,0.05748160838833521,0.011257463494190432,0.012406280627330428,0.06096925576144597,0.015239907818638043,0.01883283664747896,0.06654409615288372,0.056590721354911784,0.04128657201688406,0.04931778908734918,0.05381026866828095
1000genome-chameleon-6ch-250k-001,,,,,,0.0,0.11821503010916691,0.08162173372761647,0.00396759800429077,0.09167703486586908,0.005270001440211742,0.09158114005678752,0.0840742889562941,0.02068629527791561,0.09724126285381234,0.08856178614793057,0.005166832007936423,0.01425658285660617,0.013580913001514715,0.00842847108306023,0.011914081431713503
1000genome-chameleon-10ch-100k-001,,,,,,,0.0,0.006701965360626131,0.08453094570537122,0.003863971481893703,0.05882748976546046,0.016124574315906286,0.01451984305470661,0.0636468740068816,0.019239014746384155,0.011174686072993354,0.07918972443384488,0.053318501048534375,0.054493867092202504,0.04193111420830678,0.0621764642088984
1000genome-chameleon-12ch-100k-001,,,,,,,,0.0,0.09852646473368867,0.01322488239351867,0.09439755163813927,0.007565257560211434,0.007713420997233751,0.08273103058892337,0.0054184427677130085,0.012070040470863255,0.0717979179874797,0.05909489998548201,0.04660273245009,0.06537726930678542,0.046040637820684155
1000genome-chameleon-8ch-250k-001,,,,,,,,,0.0,0.10347016025259953,0.0025947693389555765,0.08656944329060044,0.09739542851142124,0.006401371781717367,0.0889133037455239,0.09928130190572018,0.007874259854358901,0.014678499994689856,0.008742850868126836,0.0091385587939763,0.005255464332590358
1000genome-chameleon-14ch-100k-001,,,,,,,,,,0.0,0.09090029190132293,0.0036168849091792075,0.003939659999032134,0.07889173641610224,0.010690763538382381,0.009312238394161128,0.07572083419403515,0.07751824060852547,0.06658552751291391,0.06626861062002594,0.06252411906096754
1000genome-chameleon-10ch-250k-001,,,,,,,,,,,0.0,0.09687412847673708,0.09555536839525795,0.008588341471901385,0.08771711281035953,0.09614632475957055,0.0039371299271794506,0.0032493768013668618,0.006659532166278123,0.004952313816049708,0.014110565256809739
1000genome-chameleon-16ch-100k-001,,,,,,,,,,,,0.0,0.005149262719178546,0.08805086304020869,0.007204404258942629,0.00651856687591279,0.08000117117749417,0.08295462328897014,0.06228165449883774,0.06650269446126023,0.07428584767871092
1000genome-chameleon-18ch-100k-001,,,,,,,,,,,,,0.0,0.09911353128764035,0.004222016590186511,0.004059110609830784,0.0853650314958811,0.08569557541930059,0.0816581779089478,0.06549842967210356,0.06615007251206219
1000genome-chameleon-12ch-250k-001,,,,,,,,,,,,,,0.0,0.1075310800839422,0.09975837248810682,0.00131237664239315,0.005326897154314067,0.00930654115304552,0.010822660741703346,0.004345046486999848
1000genome-chameleon-20ch-100k-001,,,,,,,,,,,,,,,0.0,0.0013169493833074118,0.09753616404111544,0.07922334493362368,0.0865588500354617,0.07234973450251682,0.07264038538415452
1000genome-chameleon-22ch-100k-001,,,,,,,,,,,,,,,,0.0,0.09984849220445267,0.0912866712321046,0.09249743700813094,0.07836233646141666,0.07347545603111671
1000genome-chameleon-14ch-250k-001,,,,,,,,,,,,,,,,,0.0,0.0042985214661796205,0.0012511082429358803,0.0033789054736224505,0.005546753721486802
1000genome-chameleon-16ch-250k-001,,,,,,,,,,,,,,,,,,0.0,0.02045603425320402,0.005852435954286666,0.009320962138469424
1000genome-chameleon-18ch-250k-001,,,,,,,,,,,,,,,,,,,0.0,0.0028344640998088444,0.0038090931710473923
1000genome-chameleon-20ch-250k-001,,,,,,,,,,,,,,,,,,,,0.0,0.011226649961385199
1000genome-chameleon-22ch-250k-001,,,,,,,,,,,,,,,,,,,,,0.0
