,soykb-chameleon-10fastq-20ch-001,soykb-chameleon-20fastq-10ch-001,soykb-chameleon-30fastq-10ch-001,soykb-chameleon-20fastq-20ch-001,soykb-chameleon-40fastq-10ch-001,soykb-chameleon-30fastq-20ch-001,soykb-chameleon-50fastq-10ch-001,soykb-chameleon-40fastq-20ch-001,soykb-chameleon-50fastq-20ch-001
soykb-chameleon-10fastq-10ch-001,0.005003603892671487,0.015513147496049524,0.022807368790581047,0.01394303680920921,0.012768251850319576,0.024057637991768858,0.008830635801575,0.014712149175727279,0.020363866182129906
soykb-chameleon-10fastq-20ch-001,0.0,0.03428807757228568,0.042899115544919875,0.00989735612065224,0.042114322028067336,0.006099305638268881,0.042265693167595104,0.008775266451492401,0.011613580935120665
soykb-chameleon-20fastq-10ch-001,,0.0,0.020325752871514564,0.012904573565380648,0.01706000383827041,0.02012273186753675,0.013794931333338274,0.010786122643738037,0.00885723609842501
soykb-chameleon-30fastq-10ch-001,,,0.0,0.021509568912090046,0.00418406379400324,0.02029971620631237,0.016916430171926976,0.006386861313868613,0.00480767139026744
soykb-chameleon-20fastq-20ch-001,,,,0.0,0.03376542074116369,0.01202138232191494,0.04563518626061074,0.009784493882083583,0.007411412699941659
soykb-chameleon-40fastq-10ch-001,,,,,0.0,0.02784153543614206,0.006186650976548206,0.015928002053007383,0.008655379494325592
soykb-chameleon-30fastq-20ch-001,,,,,,0.0,0.03383286034385395,0.011541159343680217,0.015469157052657102
soykb-chameleon-50fastq-10ch-001,,,,,,,0.0,0.01913884759434583,0.007821977667992783
soykb-chameleon-40fastq-20ch-001,,,,,,,,0.0,0.007672806801874931
soykb-chameleon-50fastq-20ch-001,,,,,,,,,0.0
