,srasearch-chameleon-10a-005,srasearch-chameleon-10a-003,srasearch-chameleon-10a-004,srasearch-chameleon-10a-002,srasearch-chameleon-20a-005,srasearch-chameleon-20a-003,srasearch-chameleon-20a-001,srasearch-chameleon-20a-004,srasearch-chameleon-20a-002,srasearch-chameleon-30a-002,srasearch-chameleon-30a-004,srasearch-chameleon-30a-005,srasearch-chameleon-30a-001,srasearch-chameleon-30a-003,srasearch-chameleon-40a-005,srasearch-chameleon-40a-003,srasearch-chameleon-40a-002,srasearch-chameleon-40a-001,srasearch-chameleon-40a-004,srasearch-chameleon-50a-004,srasearch-chameleon-50a-003,srasearch-chameleon-50a-001,srasearch-chameleon-50a-002,srasearch-chameleon-50a-005
srasearch-chameleon-10a-001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-10a-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-10a-003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-10a-004,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-10a-002,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-20a-005,,,,,0.0,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-20a-003,,,,,,0.0,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-20a-001,,,,,,,0.0,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-20a-004,,,,,,,,0.0,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
srasearch-chameleon-20a-002,,,,,,,,,0.0,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.25678611993964323,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.2614837607279526,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446,0.26443588198138446
