#Insert size (bp)	insert size
57.0	1.0
100.0	1.0
101.0	2.0
102.0	1.0
107.0	2.0
108.0	1.0
118.0	1.0
128.0	1.0
133.0	1.0
135.0	1.0
140.0	1.0
142.0	1.0
149.0	1.0
152.0	1.0
158.0	1.0
163.0	1.0
164.0	1.0
173.0	1.0
174.0	1.0
175.0	1.0
177.0	1.0
179.0	1.0
180.0	1.0
181.0	1.0
182.0	1.0
185.0	1.0
187.0	1.0
189.0	1.0
190.0	1.0
192.0	1.0
193.0	2.0
195.0	2.0
198.0	1.0
199.0	2.0
201.0	1.0
207.0	2.0
209.0	1.0
211.0	1.0
212.0	1.0
213.0	1.0
214.0	1.0
215.0	1.0
217.0	1.0
221.0	1.0
222.0	1.0
223.0	1.0
227.0	1.0
232.0	1.0
240.0	1.0
241.0	1.0
242.0	1.0
243.0	1.0
246.0	1.0
247.0	2.0
248.0	1.0
253.0	1.0
254.0	2.0
255.0	2.0
258.0	1.0
259.0	1.0
260.0	1.0
261.0	4.0
263.0	2.0
264.0	1.0
265.0	1.0
266.0	2.0
267.0	3.0
268.0	2.0
271.0	1.0
272.0	1.0
274.0	2.0
275.0	1.0
276.0	2.0
277.0	2.0
280.0	1.0
281.0	6.0
282.0	3.0
283.0	3.0
284.0	6.0
285.0	2.0
286.0	2.0
287.0	1.0
289.0	2.0
290.0	3.0
291.0	2.0
292.0	1.0
295.0	4.0
296.0	3.0
297.0	1.0
298.0	3.0
299.0	2.0
300.0	2.0
301.0	3.0
302.0	2.0
303.0	6.0
304.0	5.0
305.0	5.0
306.0	4.0
307.0	4.0
308.0	1.0
310.0	1.0
311.0	4.0
312.0	2.0
313.0	3.0
314.0	6.0
315.0	6.0
316.0	5.0
317.0	5.0
318.0	4.0
319.0	1.0
320.0	6.0
321.0	10.0
322.0	4.0
323.0	10.0
324.0	7.0
325.0	3.0
326.0	12.0
327.0	10.0
328.0	8.0
329.0	11.0
330.0	10.0
331.0	16.0
332.0	15.0
333.0	12.0
334.0	16.0
335.0	15.0
336.0	16.0
337.0	17.0
338.0	13.0
339.0	12.0
340.0	12.0
341.0	13.0
342.0	22.0
343.0	17.0
344.0	18.0
345.0	15.0
346.0	15.0
347.0	14.0
348.0	10.0
349.0	11.0
350.0	16.0
351.0	15.0
352.0	9.0
353.0	8.0
354.0	9.0
355.0	12.0
356.0	14.0
357.0	8.0
358.0	8.0
359.0	7.0
360.0	4.0
361.0	2.0
362.0	1.0
363.0	3.0
364.0	3.0
365.0	2.0
366.0	4.0
367.0	2.0
368.0	1.0
369.0	1.0
370.0	1.0
376.0	1.0
386.0	1.0
390.0	1.0
407.0	1.0
422.0	1.0
431.0	1.0
467.0	1.0
478.0	1.0
488.0	1.0
504.0	1.0
