Sample	Unique Reads	Duplicate Reads
1234N_1234N_M1_R1	58.0	0.0
1234N_1234N_M1_R2	58.0	0.0
1234N_1234N_M2_R1	31.0	0.0
1234N_1234N_M2_R2	31.0	0.0
1234N_1234N_M4_R1	71.0	0.0
1234N_1234N_M4_R2	71.0	0.0
1234N_1234N_M5_R1	100.0	2.0
1234N_1234N_M5_R2	102.0	0.0
1234N_1234N_M6_R1	92.0	2.0
1234N_1234N_M6_R2	92.0	2.0
1234N_1234N_M7_R1	79.0	0.0
1234N_1234N_M7_R2	79.0	0.0
9876T_9876T_M1_R1	778.0	92.0
9876T_9876T_M1_R2	777.0	93.0
9876T_9876T_M2_R1	705.0	94.0
9876T_9876T_M2_R2	724.0	75.0
9876T_9876T_M3_R1	736.0	89.0
9876T_9876T_M3_R2	741.0	84.0
9876T_9876T_M4_R1	815.0	119.0
9876T_9876T_M4_R2	815.0	119.0
9876T_9876T_M5_R1	790.0	101.0
9876T_9876T_M5_R2	808.0	83.0
