Sample	percentage_aligned	sequenced_bases	median_insert_size	bam_file	general_error_rate	mapped_bases	mean_insert_size	mapped_reads	mean_mapping_quality	total_reads
1234N.recal	95.7373271889	76933.0	341.0	1234N.recal.bam	0.0024	76933.0	321.7506	831.0	0.5924	868.0
1234N_1234N_M1	95.6896551724	10596.0	344.0	1234N_1234N_M1.bam	0.0056	10596.0	334.5849	111.0	0.5924	116.0
1234N_1234N_M2	98.3870967742	5972.0	346.0	1234N_1234N_M2.bam	0.0008	5972.0	336.9667	61.0	0.5912	62.0
1234N_1234N_M4	95.0704225352	12768.0	335.0	1234N_1234N_M4.bam	0.0031	12768.0	302.6875	135.0	0.5924	142.0
1234N_1234N_M5	95.0980392157	18614.0	339.0	1234N_1234N_M5.bam	0.0019	18614.0	314.75	194.0	0.5924	204.0
1234N_1234N_M6	95.7446808511	17579.0	343.0	1234N_1234N_M6.bam	0.0008	17579.0	320.314	180.0	0.5926	188.0
1234N_1234N_M7	94.9367088608	14333.0	343.0	1234N_1234N_M7.bam	0.0033	14333.0	336.5211	150.0	0.5925	158.0
9876T.recal	97.392815759	723919.0	333.0	9876T.recal.bam	0.0019	723935.0	335.0077	8405.0	0.5923	8630.0
9876T_9876T_M1	97.7011494253	164506.0	333.0	9876T_9876T_M1.bam	0.0022	164510.0	342.5232	1700.0	0.5924	1740.0
9876T_9876T_M2	96.4956195244	149939.0	335.0	9876T_9876T_M2.bam	0.0019	149941.0	345.3462	1542.0	0.5924	1598.0
9876T_9876T_M3	97.3939393939	154924.0	333.0	9876T_9876T_M3.bam	0.002	154925.0	336.6793	1607.0	0.5922	1650.0
9876T_9876T_M4	97.3233404711	176365.0	333.0	9876T_9876T_M4.bam	0.0018	176372.0	333.4554	1818.0	0.5925	1868.0
9876T_9876T_M5	97.5308641975	168310.0	333.0	9876T_9876T_M5.bam	0.0025	168314.0	337.6128	1738.0	0.5921	1782.0
