Module	Section	Sample Name	Source
FastQC	all_sections	9876T_9876T_M4_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M4_R1_fastqc.zip
FastQC	all_sections	9876T_9876T_M4_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M4_R2_fastqc.zip
FastQC	all_sections	9876T_9876T_M5_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M5_R2_fastqc.zip
FastQC	all_sections	1234N_1234N_M7_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M7_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M7_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M7_R2_fastqc.zip
FastQC	all_sections	9876T_9876T_M5_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M5_R1_fastqc.zip
FastQC	all_sections	9876T_9876T_M1_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M1_R2_fastqc.zip
FastQC	all_sections	9876T_9876T_M1_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M1_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M5_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M5_R2_fastqc.zip
FastQC	all_sections	1234N_1234N_M5_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M5_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M4_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M4_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M4_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M4_R2_fastqc.zip
FastQC	all_sections	9876T_9876T_M3_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M3_R1_fastqc.zip
FastQC	all_sections	9876T_9876T_M3_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M3_R2_fastqc.zip
FastQC	all_sections	9876T_9876T_M2_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M2_R2_fastqc.zip
FastQC	all_sections	9876T_9876T_M2_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/9876T_9876T_M2_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M6_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M6_R2_fastqc.zip
FastQC	all_sections	1234N_1234N_M6_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M6_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M1_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M1_R2_fastqc.zip
FastQC	all_sections	1234N_1234N_M1_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M1_R1_fastqc.zip
FastQC	all_sections	1234N_1234N_M2_R2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M2_R2_fastqc.zip
FastQC	all_sections	1234N_1234N_M2_R1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/FastQC/1234N_1234N_M2_R1_fastqc.zip
Picard	DuplicationMetrics	9876T	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/MarkDuplicates/9876T.bam.metrics
Picard	DuplicationMetrics	1234N	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/MarkDuplicates/1234N.bam.metrics
Samtools	stats	9876T.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/SamToolsStats/9876T.recal.bam.samtools.stats.out
Samtools	stats	1234N.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/SamToolsStats/1234N.recal.bam.samtools.stats.out
QualiMap	mapped_gc_distribution	9876T_9876T_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M5/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	9876T_9876T_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M4/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N.recal/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	9876T_9876T_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M1/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	9876T.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T.recal/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	9876T_9876T_M3	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M3/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	9876T_9876T_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M2/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N_1234N_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M1/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N_1234N_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M2/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N_1234N_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M5/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N_1234N_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M4/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N_1234N_M7	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M7/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1234N_1234N_M6	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M6/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	insert_size_histogram	9876T_9876T_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M5/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	9876T_9876T_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M4/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N.recal/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	9876T_9876T_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M1/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	9876T.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T.recal/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	9876T_9876T_M3	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M3/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	9876T_9876T_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M2/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N_1234N_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M1/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N_1234N_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M2/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N_1234N_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M5/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N_1234N_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M4/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N_1234N_M7	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M7/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1234N_1234N_M6	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M6/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	genome_results	9876T_9876T_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M5/genome_results.txt
QualiMap	genome_results	9876T_9876T_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M4/genome_results.txt
QualiMap	genome_results	1234N.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N.recal/genome_results.txt
QualiMap	genome_results	9876T_9876T_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M1/genome_results.txt
QualiMap	genome_results	9876T.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T.recal/genome_results.txt
QualiMap	genome_results	9876T_9876T_M3	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M3/genome_results.txt
QualiMap	genome_results	9876T_9876T_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M2/genome_results.txt
QualiMap	genome_results	1234N_1234N_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M1/genome_results.txt
QualiMap	genome_results	1234N_1234N_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M2/genome_results.txt
QualiMap	genome_results	1234N_1234N_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M5/genome_results.txt
QualiMap	genome_results	1234N_1234N_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M4/genome_results.txt
QualiMap	genome_results	1234N_1234N_M7	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M7/genome_results.txt
QualiMap	genome_results	1234N_1234N_M6	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N_1234N_M6/genome_results.txt
QualiMap	coverage_histogram	9876T_9876T_M5	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M5/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	9876T_9876T_M4	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M4/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1234N.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/1234N.recal/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	9876T_9876T_M1	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M1/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	9876T.recal	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T.recal/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	9876T_9876T_M3	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M3/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	9876T_9876T_M2	/Users/nirvaanreddy/Desktop/CURVE/work/09/38e69d2633fe22a464786d33ad7ea8/bamQC/9876T_9876T_M2/raw_data_qualimapReport/coverage_histogram.txt
