Module	Section	Sample Name	Source
Cutadapt	all_sections	2a_S115_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/cutadapt/logs/cutadapt_log_2a.txt
Cutadapt	all_sections	2_S115_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/cutadapt/logs/cutadapt_log_2.txt
Cutadapt	all_sections	1_S103_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/cutadapt/logs/cutadapt_log_1.txt
Cutadapt	all_sections	1a_S103_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/cutadapt/logs/cutadapt_log_1a.txt
FastQC	all_sections	2_S115_L001_R1_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/2_S115_L001_R1_001_fastqc.zip
FastQC	all_sections	1_S103_L001_R1_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/1_S103_L001_R1_001_fastqc.zip
FastQC	all_sections	2a_S115_L001_R1_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/2a_S115_L001_R1_001_fastqc.zip
FastQC	all_sections	2_S115_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/2_S115_L001_R2_001_fastqc.zip
FastQC	all_sections	1_S103_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/1_S103_L001_R2_001_fastqc.zip
FastQC	all_sections	2a_S115_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/2a_S115_L001_R2_001_fastqc.zip
FastQC	all_sections	1a_S103_L001_R2_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/1a_S103_L001_R2_001_fastqc.zip
FastQC	all_sections	1a_S103_L001_R1_001	/Users/nirvaanreddy/Desktop/CURVE/work/16/c2b3ca42e2f6cd793ee7c9360ea7c2/fastqc/1a_S103_L001_R1_001_fastqc.zip
