#Insert size (bp)	insert size
55.0	1.0
79.0	2.0
97.0	2.0
102.0	1.0
103.0	1.0
105.0	2.0
107.0	1.0
109.0	1.0
110.0	1.0
111.0	2.0
114.0	1.0
115.0	1.0
118.0	1.0
120.0	2.0
123.0	1.0
132.0	2.0
133.0	1.0
139.0	1.0
141.0	1.0
148.0	1.0
152.0	1.0
155.0	1.0
156.0	3.0
158.0	1.0
161.0	1.0
163.0	2.0
164.0	1.0
166.0	1.0
168.0	1.0
171.0	1.0
175.0	1.0
177.0	1.0
178.0	1.0
181.0	1.0
182.0	2.0
186.0	1.0
187.0	1.0
190.0	1.0
191.0	1.0
195.0	1.0
199.0	1.0
207.0	2.0
215.0	2.0
217.0	1.0
218.0	3.0
220.0	1.0
221.0	2.0
223.0	2.0
224.0	2.0
228.0	1.0
229.0	1.0
230.0	1.0
232.0	1.0
234.0	2.0
236.0	2.0
238.0	1.0
240.0	1.0
241.0	3.0
242.0	1.0
243.0	2.0
247.0	1.0
249.0	1.0
250.0	1.0
251.0	1.0
253.0	2.0
254.0	1.0
255.0	1.0
256.0	1.0
257.0	2.0
258.0	3.0
260.0	2.0
261.0	1.0
262.0	1.0
264.0	1.0
265.0	2.0
266.0	1.0
267.0	2.0
268.0	1.0
269.0	1.0
270.0	5.0
271.0	2.0
272.0	2.0
273.0	3.0
274.0	2.0
276.0	1.0
277.0	1.0
278.0	3.0
279.0	1.0
280.0	2.0
281.0	2.0
282.0	1.0
283.0	3.0
284.0	4.0
285.0	3.0
286.0	1.0
287.0	3.0
288.0	3.0
289.0	3.0
290.0	1.0
291.0	4.0
292.0	2.0
293.0	4.0
294.0	1.0
295.0	5.0
296.0	1.0
297.0	2.0
298.0	4.0
299.0	1.0
300.0	3.0
302.0	2.0
303.0	3.0
304.0	5.0
306.0	1.0
307.0	1.0
308.0	1.0
309.0	3.0
310.0	4.0
311.0	7.0
312.0	6.0
313.0	2.0
314.0	3.0
315.0	4.0
316.0	6.0
317.0	6.0
318.0	4.0
319.0	5.0
320.0	4.0
321.0	8.0
322.0	3.0
323.0	10.0
324.0	10.0
325.0	7.0
326.0	8.0
327.0	14.0
328.0	12.0
329.0	5.0
330.0	15.0
331.0	12.0
332.0	20.0
333.0	12.0
334.0	17.0
335.0	10.0
336.0	17.0
337.0	20.0
338.0	14.0
339.0	9.0
340.0	15.0
341.0	19.0
342.0	11.0
343.0	16.0
344.0	16.0
345.0	16.0
346.0	12.0
347.0	16.0
348.0	7.0
349.0	15.0
350.0	16.0
351.0	7.0
352.0	20.0
353.0	15.0
354.0	5.0
355.0	10.0
356.0	15.0
357.0	7.0
358.0	5.0
359.0	6.0
360.0	5.0
361.0	1.0
362.0	6.0
363.0	3.0
364.0	3.0
365.0	2.0
366.0	2.0
367.0	1.0
370.0	1.0
371.0	1.0
377.0	1.0
382.0	1.0
406.0	1.0
412.0	1.0
417.0	1.0
429.0	1.0
453.0	1.0
461.0	1.0
463.0	1.0
491.0	1.0
513.0	1.0
553.0	1.0
557.0	1.0
