#Coverage (X)	Coverage
1.0	0.36796036661871767
2.0	0.34038197317194374
3.0	0.2880824072210686
4.0	0.24634213605837374
5.0	0.1946637050950386
6.0	0.15292343393234376
7.0	0.09602746907367532
8.0	0.06596453567674132
9.0	0.024845399501586485
10.0	0.003354128932699041
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
