CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	24	7.69	26
2	1	22	4.35	23
3	1	22	4.35	23
4	3	20	13.04	23
5	5	21	19.23	26
6	4	22	15.38	26
7	0	25	0.00	25
8	4	24	14.29	28
9	2	25	7.41	27
10	1	25	3.85	26
11	0	25	0.00	25
12	0	25	0.00	25
13	1	25	3.85	26
14	1	25	3.85	26
15	3	23	11.54	26
16	1	25	3.85	26
17	1	25	3.85	26
18	1	25	3.85	26
19	1	25	3.85	26
20	2	25	7.41	27
21	0	25	0.00	25
22	0	25	0.00	25
23	1	25	3.85	26
24	0	25	0.00	25
25	0	25	0.00	25
26	1	25	3.85	26
27	0	24	0.00	24
28	0	25	0.00	25
29	3	22	12.00	25
30	0	23	0.00	23
31	0	22	0.00	22
32	3	23	11.54	26
33	2	21	8.70	23
34	1	22	4.35	23
35	3	23	11.54	26
36	0	20	0.00	20

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	30	3.23	31
2	1	28	3.45	29
3	2	29	6.45	31
4	1	30	3.23	31
5	2	29	6.45	31
6	2	28	6.67	30
7	0	28	0.00	28
8	0	28	0.00	28
9	0	28	0.00	28
10	0	29	0.00	29
11	0	29	0.00	29
12	1	28	3.45	29
13	3	27	10.00	30
14	1	29	3.33	30
15	0	29	0.00	29
16	0	28	0.00	28
17	1	28	3.45	29
18	0	29	0.00	29
19	1	29	3.33	30
20	0	28	0.00	28
21	0	28	0.00	28
22	1	28	3.45	29
23	3	26	10.34	29
24	0	28	0.00	28
25	0	28	0.00	28
26	0	28	0.00	28
27	1	28	3.45	29
28	3	27	10.00	30
29	0	26	0.00	26
30	1	26	3.70	27
31	1	27	3.57	28
32	0	25	0.00	25
33	2	24	7.69	26
34	0	27	0.00	27
35	0	24	0.00	24
36	1	25	3.85	26

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	25	3.85	26
2	1	26	3.70	27
3	1	27	3.57	28
4	2	27	6.90	29
5	1	24	4.00	25
6	1	26	3.70	27
7	1	26	3.70	27
8	2	26	7.14	28
9	1	26	3.70	27
10	2	25	7.41	27
11	3	24	11.11	27
12	1	26	3.70	27
13	1	27	3.57	28
14	1	26	3.70	27
15	0	26	0.00	26
16	1	26	3.70	27
17	1	27	3.57	28
18	1	26	3.70	27
19	2	26	7.14	28
20	2	25	7.41	27
21	2	25	7.41	27
22	1	25	3.85	26
23	1	25	3.85	26
24	2	25	7.41	27
25	2	24	7.69	26
26	2	24	7.69	26
27	3	25	10.71	28
28	0	26	0.00	26
29	1	27	3.57	28
30	1	28	3.45	29
31	2	27	6.90	29
32	1	27	3.57	28
33	3	27	10.00	30
34	1	25	3.85	26
35	0	25	0.00	25
36	0	23	0.00	23

