#Coverage	Number of genomic locations
0.0	801775.0
3.0	1.0
4.0	3.0
5.0	12.0
6.0	22.0
7.0	21.0
8.0	45.0
9.0	23.0
10.0	58.0
11.0	72.0
12.0	93.0
13.0	61.0
14.0	92.0
15.0	79.0
16.0	71.0
17.0	110.0
18.0	99.0
19.0	140.0
20.0	147.0
21.0	158.0
22.0	92.0
23.0	145.0
24.0	137.0
25.0	151.0
26.0	147.0
27.0	155.0
28.0	122.0
29.0	121.0
30.0	111.0
31.0	115.0
32.0	81.0
33.0	79.0
34.0	70.0
35.0	54.0
36.0	45.0
37.0	37.0
38.0	39.0
39.0	27.0
40.0	38.0
41.0	20.0
42.0	16.0
43.0	9.0
44.0	19.0
45.0	20.0
46.0	17.0
47.0	10.0
48.0	10.0
49.0	7.0
50.0	2.0
