#Insert size (bp)	insert size
66.0	1.0
80.0	1.0
106.0	1.0
107.0	1.0
108.0	1.0
117.0	1.0
123.0	1.0
124.0	1.0
130.0	1.0
131.0	1.0
136.0	1.0
145.0	1.0
147.0	1.0
150.0	1.0
162.0	2.0
166.0	1.0
167.0	1.0
178.0	1.0
180.0	1.0
181.0	1.0
182.0	2.0
190.0	1.0
191.0	1.0
195.0	1.0
201.0	1.0
211.0	1.0
213.0	1.0
216.0	1.0
218.0	1.0
228.0	1.0
229.0	1.0
233.0	1.0
235.0	1.0
236.0	1.0
244.0	2.0
250.0	2.0
252.0	1.0
256.0	1.0
258.0	1.0
259.0	1.0
263.0	3.0
264.0	1.0
267.0	1.0
268.0	1.0
269.0	1.0
271.0	1.0
272.0	1.0
273.0	1.0
275.0	2.0
276.0	1.0
279.0	1.0
280.0	2.0
281.0	3.0
284.0	2.0
286.0	1.0
287.0	1.0
288.0	1.0
289.0	1.0
290.0	1.0
292.0	2.0
293.0	1.0
295.0	1.0
296.0	1.0
297.0	3.0
298.0	1.0
299.0	1.0
300.0	1.0
301.0	1.0
302.0	1.0
305.0	1.0
308.0	2.0
309.0	1.0
310.0	2.0
311.0	2.0
312.0	1.0
313.0	1.0
314.0	1.0
315.0	1.0
316.0	1.0
318.0	2.0
319.0	1.0
321.0	6.0
322.0	3.0
323.0	2.0
324.0	3.0
325.0	1.0
326.0	2.0
327.0	2.0
328.0	3.0
329.0	5.0
330.0	1.0
331.0	4.0
332.0	3.0
333.0	6.0
334.0	7.0
335.0	12.0
336.0	4.0
337.0	1.0
338.0	10.0
339.0	12.0
340.0	5.0
341.0	12.0
342.0	7.0
343.0	6.0
344.0	8.0
345.0	9.0
346.0	7.0
347.0	6.0
348.0	5.0
349.0	8.0
350.0	7.0
351.0	3.0
352.0	5.0
353.0	10.0
354.0	7.0
355.0	6.0
356.0	6.0
357.0	7.0
358.0	5.0
359.0	6.0
360.0	7.0
361.0	5.0
362.0	10.0
363.0	5.0
364.0	3.0
365.0	6.0
366.0	7.0
367.0	1.0
368.0	3.0
369.0	3.0
370.0	3.0
371.0	2.0
373.0	1.0
374.0	2.0
375.0	1.0
378.0	1.0
400.0	1.0
445.0	1.0
504.0	1.0
511.0	1.0
