#Coverage	Number of genomic locations
0.0	801771.0
1.0	2.0
2.0	1.0
4.0	1.0
34.0	1.0
35.0	1.0
36.0	3.0
37.0	5.0
38.0	3.0
39.0	4.0
40.0	3.0
41.0	3.0
43.0	2.0
44.0	1.0
45.0	3.0
46.0	16.0
47.0	14.0
48.0	17.0
49.0	26.0
50.0	21.0
51.0	11.0
52.0	14.0
53.0	3.0
54.0	2.0
56.0	12.0
57.0	7.0
58.0	3.0
59.0	4.0
60.0	6.0
61.0	4.0
62.0	3.0
63.0	8.0
64.0	8.0
65.0	3.0
66.0	3.0
67.0	4.0
68.0	2.0
69.0	4.0
70.0	1.0
71.0	5.0
72.0	10.0
73.0	6.0
74.0	4.0
75.0	10.0
76.0	13.0
77.0	11.0
78.0	17.0
79.0	22.0
80.0	20.0
81.0	30.0
82.0	28.0
83.0	27.0
84.0	25.0
85.0	26.0
86.0	29.0
87.0	27.0
88.0	30.0
89.0	33.0
90.0	30.0
91.0	45.0
92.0	43.0
93.0	32.0
94.0	41.0
95.0	32.0
96.0	43.0
97.0	35.0
98.0	24.0
99.0	24.0
100.0	33.0
101.0	25.0
102.0	21.0
103.0	22.0
104.0	15.0
105.0	14.0
106.0	18.0
107.0	11.0
108.0	11.0
109.0	10.0
110.0	12.0
111.0	13.0
112.0	14.0
113.0	18.0
114.0	18.0
115.0	26.0
116.0	17.0
117.0	15.0
118.0	15.0
119.0	20.0
120.0	20.0
121.0	9.0
122.0	10.0
123.0	6.0
124.0	10.0
125.0	14.0
126.0	27.0
127.0	19.0
128.0	17.0
129.0	12.0
130.0	17.0
131.0	12.0
132.0	12.0
133.0	9.0
134.0	6.0
135.0	13.0
136.0	12.0
137.0	9.0
138.0	10.0
139.0	13.0
140.0	12.0
141.0	19.0
142.0	14.0
143.0	23.0
144.0	24.0
145.0	19.0
146.0	14.0
147.0	13.0
148.0	16.0
149.0	13.0
150.0	19.0
151.0	18.0
152.0	12.0
153.0	8.0
154.0	8.0
155.0	6.0
156.0	4.0
157.0	6.0
158.0	7.0
159.0	4.0
160.0	4.0
161.0	7.0
162.0	3.0
163.0	4.0
164.0	2.0
165.0	2.0
166.0	8.0
167.0	3.0
168.0	10.0
169.0	8.0
170.0	4.0
171.0	5.0
172.0	3.0
173.0	4.0
174.0	3.0
175.0	5.0
176.0	8.0
177.0	6.0
178.0	8.0
179.0	12.0
180.0	5.0
181.0	8.0
182.0	10.0
183.0	5.0
184.0	7.0
185.0	8.0
186.0	10.0
187.0	11.0
188.0	10.0
189.0	9.0
190.0	9.0
191.0	14.0
192.0	8.0
193.0	13.0
194.0	12.0
195.0	14.0
196.0	23.0
197.0	31.0
198.0	16.0
199.0	13.0
200.0	23.0
201.0	7.0
202.0	6.0
203.0	2.0
204.0	4.0
205.0	4.0
206.0	1.0
210.0	1.0
211.0	1.0
212.0	1.0
213.0	1.0
214.0	1.0
215.0	1.0
216.0	2.0
217.0	2.0
218.0	2.0
219.0	2.0
220.0	1.0
222.0	4.0
223.0	4.0
224.0	3.0
225.0	6.0
226.0	3.0
227.0	5.0
228.0	4.0
229.0	2.0
230.0	4.0
231.0	3.0
232.0	2.0
233.0	3.0
234.0	4.0
235.0	7.0
236.0	2.0
237.0	7.0
240.0	2.0
241.0	3.0
242.0	2.0
243.0	4.0
244.0	3.0
245.0	11.0
246.0	3.0
247.0	2.0
248.0	1.0
249.0	1.0
250.0	4.0
251.0	4.0
252.0	3.0
253.0	2.0
254.0	4.0
255.0	4.0
256.0	3.0
257.0	9.0
258.0	7.0
259.0	7.0
260.0	4.0
261.0	6.0
262.0	2.0
263.0	3.0
264.0	1.0
265.0	4.0
267.0	2.0
269.0	1.0
272.0	1.0
274.0	3.0
276.0	1.0
277.0	1.0
278.0	1.0
279.0	1.0
280.0	2.0
