#Insert size (bp)	insert size
33.0	1.0
55.0	1.0
57.0	1.0
72.0	1.0
79.0	2.0
82.0	2.0
88.0	2.0
92.0	1.0
93.0	2.0
97.0	4.0
99.0	2.0
100.0	2.0
101.0	2.0
102.0	3.0
103.0	2.0
105.0	2.0
107.0	3.0
108.0	1.0
109.0	4.0
110.0	2.0
111.0	4.0
112.0	1.0
113.0	1.0
114.0	2.0
115.0	1.0
116.0	3.0
117.0	1.0
118.0	2.0
120.0	4.0
122.0	1.0
123.0	2.0
124.0	1.0
125.0	1.0
126.0	1.0
128.0	1.0
130.0	1.0
131.0	2.0
132.0	3.0
133.0	5.0
135.0	3.0
136.0	1.0
137.0	3.0
138.0	2.0
139.0	3.0
140.0	2.0
141.0	2.0
142.0	4.0
143.0	1.0
145.0	2.0
147.0	1.0
148.0	4.0
149.0	3.0
151.0	1.0
152.0	3.0
153.0	1.0
154.0	1.0
155.0	2.0
156.0	5.0
157.0	2.0
158.0	3.0
160.0	1.0
161.0	2.0
162.0	1.0
163.0	5.0
164.0	3.0
166.0	1.0
167.0	1.0
168.0	2.0
169.0	3.0
170.0	1.0
171.0	3.0
173.0	3.0
174.0	2.0
175.0	4.0
177.0	2.0
178.0	2.0
179.0	3.0
180.0	3.0
181.0	4.0
182.0	3.0
183.0	1.0
184.0	3.0
185.0	2.0
186.0	5.0
187.0	3.0
188.0	4.0
189.0	3.0
190.0	2.0
191.0	3.0
192.0	1.0
193.0	2.0
195.0	6.0
197.0	1.0
198.0	5.0
199.0	5.0
200.0	5.0
201.0	4.0
202.0	1.0
203.0	3.0
204.0	1.0
205.0	1.0
206.0	2.0
207.0	5.0
208.0	1.0
209.0	1.0
211.0	5.0
212.0	1.0
213.0	6.0
214.0	2.0
215.0	3.0
216.0	1.0
217.0	2.0
218.0	3.0
219.0	1.0
220.0	2.0
221.0	6.0
222.0	3.0
223.0	4.0
224.0	4.0
225.0	3.0
226.0	2.0
227.0	4.0
228.0	2.0
229.0	1.0
230.0	4.0
231.0	2.0
232.0	6.0
233.0	1.0
234.0	4.0
236.0	4.0
237.0	2.0
238.0	2.0
239.0	2.0
240.0	2.0
241.0	8.0
242.0	3.0
243.0	4.0
244.0	1.0
245.0	2.0
246.0	5.0
247.0	7.0
248.0	3.0
249.0	4.0
250.0	2.0
251.0	4.0
252.0	3.0
253.0	5.0
254.0	7.0
255.0	7.0
256.0	7.0
257.0	7.0
258.0	8.0
259.0	9.0
260.0	5.0
261.0	7.0
262.0	8.0
263.0	9.0
264.0	10.0
265.0	8.0
266.0	11.0
267.0	12.0
268.0	5.0
269.0	9.0
270.0	11.0
271.0	8.0
272.0	10.0
273.0	6.0
274.0	8.0
275.0	6.0
276.0	7.0
277.0	8.0
278.0	8.0
279.0	6.0
280.0	8.0
281.0	13.0
282.0	10.0
283.0	7.0
284.0	16.0
285.0	16.0
286.0	9.0
287.0	10.0
288.0	7.0
289.0	9.0
290.0	10.0
291.0	15.0
292.0	12.0
293.0	7.0
294.0	9.0
295.0	14.0
296.0	9.0
297.0	12.0
298.0	16.0
299.0	7.0
300.0	16.0
301.0	13.0
302.0	9.0
303.0	15.0
304.0	14.0
305.0	14.0
306.0	15.0
307.0	16.0
308.0	9.0
309.0	6.0
310.0	16.0
311.0	24.0
312.0	20.0
313.0	16.0
314.0	19.0
315.0	19.0
316.0	21.0
317.0	24.0
318.0	23.0
319.0	25.0
320.0	29.0
321.0	42.0
322.0	23.0
323.0	41.0
324.0	42.0
325.0	33.0
326.0	55.0
327.0	62.0
328.0	51.0
329.0	56.0
330.0	70.0
331.0	68.0
332.0	77.0
333.0	70.0
334.0	65.0
335.0	64.0
336.0	83.0
337.0	67.0
338.0	82.0
339.0	60.0
340.0	65.0
341.0	62.0
342.0	66.0
343.0	68.0
344.0	73.0
345.0	67.0
346.0	69.0
347.0	62.0
348.0	53.0
349.0	69.0
350.0	58.0
351.0	50.0
352.0	64.0
353.0	43.0
354.0	47.0
355.0	48.0
356.0	47.0
357.0	45.0
358.0	35.0
359.0	32.0
360.0	22.0
361.0	13.0
362.0	13.0
363.0	16.0
364.0	11.0
365.0	11.0
366.0	9.0
367.0	5.0
368.0	2.0
369.0	1.0
370.0	3.0
371.0	3.0
375.0	1.0
376.0	1.0
377.0	2.0
382.0	1.0
386.0	1.0
388.0	2.0
389.0	1.0
390.0	1.0
392.0	2.0
395.0	1.0
397.0	1.0
400.0	1.0
404.0	1.0
406.0	1.0
407.0	1.0
408.0	1.0
412.0	2.0
414.0	1.0
415.0	1.0
417.0	2.0
418.0	1.0
420.0	1.0
421.0	1.0
422.0	1.0
423.0	1.0
424.0	1.0
426.0	2.0
429.0	1.0
431.0	1.0
432.0	1.0
441.0	2.0
443.0	1.0
448.0	1.0
451.0	1.0
453.0	1.0
460.0	1.0
461.0	1.0
463.0	2.0
465.0	1.0
467.0	1.0
468.0	1.0
478.0	2.0
480.0	1.0
488.0	1.0
491.0	1.0
498.0	1.0
504.0	1.0
513.0	1.0
516.0	1.0
520.0	1.0
522.0	1.0
524.0	1.0
543.0	1.0
545.0	1.0
550.0	1.0
553.0	1.0
557.0	1.0
605.0	1.0
