#Coverage (X)	Coverage
1.0	0.39603566805553214
2.0	0.3737990355016052
3.0	0.34187269714205115
4.0	0.3078344998248639
5.0	0.26298855372446894
6.0	0.20435341090069414
7.0	0.16087396177289293
8.0	0.10820171482950514
9.0	0.0693186646094972
10.0	0.04497017309792284
11.0	0.022981994539009065
12.0	0.012174245755815605
13.0	0.003726809925268526
14.0	0.002608766947702179
15.0	6.211349875684391E-4
16.0	2.8421709430404007E-14
17.0	2.8421709430404007E-14
18.0	2.8421709430404007E-14
19.0	2.8421709430404007E-14
20.0	2.8421709430404007E-14
21.0	2.8421709430404007E-14
22.0	2.8421709430404007E-14
23.0	2.8421709430404007E-14
24.0	2.8421709430404007E-14
25.0	2.8421709430404007E-14
26.0	2.8421709430404007E-14
27.0	2.8421709430404007E-14
28.0	2.8421709430404007E-14
29.0	2.8421709430404007E-14
30.0	2.8421709430404007E-14
31.0	2.8421709430404007E-14
32.0	2.8421709430404007E-14
33.0	2.8421709430404007E-14
34.0	2.8421709430404007E-14
35.0	2.8421709430404007E-14
36.0	2.8421709430404007E-14
37.0	2.8421709430404007E-14
38.0	2.8421709430404007E-14
39.0	2.8421709430404007E-14
40.0	2.8421709430404007E-14
41.0	2.8421709430404007E-14
42.0	2.8421709430404007E-14
43.0	2.8421709430404007E-14
44.0	2.8421709430404007E-14
45.0	2.8421709430404007E-14
46.0	2.8421709430404007E-14
47.0	2.8421709430404007E-14
48.0	2.8421709430404007E-14
49.0	2.8421709430404007E-14
50.0	2.8421709430404007E-14
51.0	2.8421709430404007E-14
