Module	Section	Sample Name	Source
Bismark	alignment	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub2_trimmed_bismark_bt2_SE_report.txt
Bismark	alignment	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub1_trimmed_bismark_bt2_SE_report.txt
Bismark	alignment	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub3_trimmed_bismark_bt2_SE_report.txt
Bismark	deduplication	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub2_trimmed_bismark_bt2.deduplication_report.txt
Bismark	deduplication	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub3_trimmed_bismark_bt2.deduplication_report.txt
Bismark	deduplication	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub1_trimmed_bismark_bt2.deduplication_report.txt
Bismark	methylation_extraction	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub3_trimmed_bismark_bt2.deduplicated_splitting_report.txt
Bismark	methylation_extraction	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub1_trimmed_bismark_bt2.deduplicated_splitting_report.txt
Bismark	methylation_extraction	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub2_trimmed_bismark_bt2.deduplicated_splitting_report.txt
Bismark	m_bias	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub3_trimmed_bismark_bt2.deduplicated.M-bias.txt
Bismark	m_bias	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub2_trimmed_bismark_bt2.deduplicated.M-bias.txt
Bismark	m_bias	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/bismark/SRR389222_sub1_trimmed_bismark_bt2.deduplicated.M-bias.txt
QualiMap	genome_results	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub2_trimmed_bismark_bt2.deduplicated_qualimap/genome_results.txt
QualiMap	genome_results	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub3_trimmed_bismark_bt2.deduplicated_qualimap/genome_results.txt
QualiMap	genome_results	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub1_trimmed_bismark_bt2.deduplicated_qualimap/genome_results.txt
QualiMap	coverage_histogram	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub2_trimmed_bismark_bt2.deduplicated_qualimap/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub3_trimmed_bismark_bt2.deduplicated_qualimap/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub1_trimmed_bismark_bt2.deduplicated_qualimap/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub2_trimmed_bismark_bt2.deduplicated_qualimap/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub3_trimmed_bismark_bt2.deduplicated_qualimap/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/qualimap/SRR389222_sub1_trimmed_bismark_bt2.deduplicated_qualimap/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Cutadapt	all_sections	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/trimgalore/SRR389222_sub3.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/trimgalore/SRR389222_sub1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/trimgalore/SRR389222_sub2.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR389222_sub3	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/fastqc/SRR389222_sub3_fastqc.zip
FastQC	all_sections	SRR389222_sub1	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/fastqc/SRR389222_sub1_fastqc.zip
FastQC	all_sections	SRR389222_sub2	/Users/nirvaanreddy/Desktop/CURVE/work/81/22465723107faa433433617d054b71/fastqc/SRR389222_sub2_fastqc.zip
