CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	23	4.17	24
2	3	23	11.54	26
3	2	22	8.33	24
4	5	23	17.86	28
5	6	22	21.43	28
6	1	25	3.85	26
7	3	24	11.11	27
8	3	25	10.71	28
9	5	25	16.67	30
10	2	25	7.41	27
11	1	25	3.85	26
12	3	25	10.71	28
13	0	25	0.00	25
14	0	25	0.00	25
15	2	25	7.41	27
16	3	25	10.71	28
17	2	24	7.69	26
18	1	25	3.85	26
19	3	25	10.71	28
20	3	25	10.71	28
21	1	25	3.85	26
22	1	25	3.85	26
23	1	25	3.85	26
24	3	25	10.71	28
25	0	25	0.00	25
26	3	25	10.71	28
27	1	25	3.85	26
28	0	25	0.00	25
29	2	23	8.00	25
30	0	23	0.00	23
31	3	23	11.54	26
32	4	20	16.67	24
33	0	23	0.00	23
34	3	22	12.00	25
35	3	23	11.54	26
36	3	22	12.00	25

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4	31	11.43	35
2	2	28	6.67	30
3	3	29	9.38	32
4	3	29	9.38	32
5	0	30	0.00	30
6	2	28	6.67	30
7	0	29	0.00	29
8	2	28	6.67	30
9	0	29	0.00	29
10	1	29	3.33	30
11	1	29	3.33	30
12	2	28	6.67	30
13	2	28	6.67	30
14	3	29	9.38	32
15	1	29	3.33	30
16	0	28	0.00	28
17	2	28	6.67	30
18	0	29	0.00	29
19	3	29	9.38	32
20	2	28	6.67	30
21	1	28	3.45	29
22	1	28	3.45	29
23	2	26	7.14	28
24	1	28	3.45	29
25	0	28	0.00	28
26	2	27	6.90	29
27	1	28	3.45	29
28	3	27	10.00	30
29	1	27	3.57	28
30	1	27	3.57	28
31	2	25	7.41	27
32	1	25	3.85	26
33	1	26	3.70	27
34	2	26	7.14	28
35	0	23	0.00	23
36	3	22	12.00	25

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	26	7.14	28
2	3	26	10.34	29
3	0	27	0.00	27
4	2	26	7.14	28
5	4	25	13.79	29
6	2	26	7.14	28
7	3	26	10.34	29
8	3	26	10.34	29
9	3	25	10.71	28
10	3	26	10.34	29
11	2	26	7.14	28
12	1	26	3.70	27
13	5	26	16.13	31
14	2	26	7.14	28
15	3	26	10.34	29
16	2	26	7.14	28
17	2	27	6.90	29
18	3	26	10.34	29
19	2	26	7.14	28
20	2	26	7.14	28
21	4	26	13.33	30
22	4	25	13.79	29
23	5	24	17.24	29
24	2	25	7.41	27
25	3	25	10.71	28
26	3	25	10.71	28
27	3	25	10.71	28
28	4	28	12.50	32
29	6	27	18.18	33
30	3	28	9.68	31
31	4	28	12.50	32
32	4	27	12.90	31
33	4	26	13.33	30
34	2	24	7.69	26
35	1	26	3.70	27
36	0	25	0.00	25

