#Coverage	Number of genomic locations
0.0	801775.0
8.0	3.0
9.0	23.0
10.0	21.0
11.0	35.0
12.0	71.0
13.0	44.0
14.0	52.0
15.0	73.0
16.0	60.0
17.0	132.0
18.0	87.0
19.0	104.0
20.0	116.0
21.0	71.0
22.0	69.0
23.0	87.0
24.0	76.0
25.0	71.0
26.0	70.0
27.0	45.0
28.0	55.0
29.0	30.0
30.0	62.0
31.0	51.0
32.0	72.0
33.0	33.0
34.0	11.0
35.0	19.0
36.0	22.0
37.0	31.0
38.0	42.0
39.0	32.0
40.0	31.0
41.0	47.0
42.0	33.0
43.0	39.0
44.0	37.0
45.0	32.0
46.0	24.0
47.0	32.0
48.0	14.0
49.0	12.0
50.0	29.0
51.0	16.0
52.0	46.0
53.0	48.0
54.0	27.0
55.0	19.0
56.0	22.0
57.0	23.0
58.0	14.0
59.0	8.0
60.0	10.0
61.0	1.0
62.0	3.0
63.0	7.0
64.0	12.0
65.0	9.0
66.0	8.0
67.0	8.0
68.0	5.0
69.0	3.0
70.0	4.0
71.0	1.0
72.0	2.0
73.0	1.0
74.0	6.0
75.0	7.0
76.0	12.0
77.0	6.0
78.0	13.0
79.0	21.0
80.0	10.0
81.0	17.0
82.0	11.0
83.0	10.0
84.0	11.0
85.0	13.0
86.0	9.0
87.0	16.0
88.0	11.0
89.0	8.0
90.0	3.0
91.0	2.0
92.0	1.0
93.0	7.0
94.0	6.0
95.0	6.0
96.0	9.0
97.0	7.0
98.0	4.0
99.0	5.0
100.0	7.0
101.0	1.0
102.0	11.0
103.0	5.0
104.0	3.0
105.0	6.0
106.0	5.0
108.0	1.0
110.0	3.0
111.0	6.0
112.0	6.0
113.0	3.0
114.0	4.0
116.0	3.0
117.0	2.0
118.0	2.0
119.0	1.0
120.0	4.0
121.0	1.0
122.0	3.0
123.0	3.0
124.0	10.0
125.0	12.0
126.0	9.0
127.0	13.0
128.0	8.0
129.0	12.0
130.0	20.0
131.0	10.0
132.0	5.0
133.0	5.0
134.0	8.0
135.0	7.0
136.0	4.0
137.0	6.0
138.0	6.0
139.0	5.0
140.0	6.0
141.0	7.0
142.0	5.0
143.0	10.0
144.0	3.0
145.0	4.0
146.0	7.0
147.0	5.0
148.0	4.0
149.0	8.0
150.0	10.0
151.0	14.0
152.0	10.0
153.0	12.0
154.0	9.0
155.0	8.0
156.0	8.0
157.0	7.0
158.0	2.0
159.0	3.0
160.0	2.0
161.0	3.0
162.0	4.0
163.0	1.0
164.0	8.0
165.0	2.0
166.0	16.0
167.0	4.0
168.0	5.0
169.0	13.0
170.0	14.0
171.0	13.0
172.0	6.0
173.0	8.0
174.0	10.0
175.0	1.0
176.0	5.0
177.0	5.0
178.0	11.0
179.0	9.0
180.0	19.0
181.0	9.0
182.0	14.0
183.0	13.0
184.0	7.0
185.0	6.0
186.0	3.0
187.0	2.0
