#Insert size (bp)	insert size
72.0	1.0
88.0	1.0
93.0	1.0
97.0	1.0
99.0	1.0
103.0	1.0
109.0	1.0
112.0	1.0
116.0	2.0
117.0	1.0
123.0	1.0
131.0	2.0
135.0	1.0
137.0	2.0
141.0	1.0
142.0	1.0
148.0	1.0
151.0	1.0
153.0	1.0
157.0	1.0
163.0	1.0
168.0	1.0
169.0	1.0
171.0	1.0
173.0	1.0
175.0	1.0
179.0	1.0
180.0	1.0
185.0	1.0
186.0	2.0
187.0	1.0
189.0	1.0
191.0	2.0
197.0	1.0
198.0	1.0
199.0	2.0
200.0	4.0
201.0	2.0
203.0	1.0
205.0	1.0
211.0	1.0
213.0	3.0
216.0	1.0
219.0	1.0
220.0	1.0
221.0	1.0
222.0	2.0
224.0	1.0
227.0	1.0
228.0	1.0
230.0	1.0
231.0	1.0
234.0	1.0
237.0	2.0
239.0	1.0
245.0	1.0
246.0	1.0
247.0	2.0
249.0	1.0
252.0	2.0
254.0	3.0
255.0	2.0
256.0	3.0
257.0	1.0
258.0	2.0
259.0	3.0
260.0	1.0
261.0	1.0
262.0	1.0
263.0	1.0
264.0	5.0
265.0	1.0
266.0	4.0
267.0	2.0
270.0	3.0
272.0	2.0
273.0	2.0
274.0	1.0
275.0	3.0
276.0	4.0
277.0	3.0
278.0	3.0
279.0	1.0
280.0	2.0
281.0	1.0
282.0	4.0
284.0	3.0
285.0	4.0
287.0	3.0
288.0	1.0
289.0	3.0
290.0	1.0
291.0	3.0
292.0	4.0
294.0	3.0
295.0	3.0
296.0	1.0
297.0	1.0
298.0	2.0
299.0	1.0
300.0	4.0
301.0	6.0
302.0	4.0
303.0	3.0
304.0	2.0
305.0	2.0
306.0	6.0
307.0	1.0
308.0	2.0
309.0	1.0
310.0	4.0
311.0	8.0
312.0	1.0
313.0	4.0
314.0	1.0
315.0	3.0
316.0	4.0
317.0	4.0
318.0	6.0
319.0	9.0
320.0	8.0
321.0	5.0
322.0	11.0
323.0	9.0
324.0	10.0
325.0	12.0
326.0	18.0
327.0	17.0
328.0	16.0
329.0	18.0
330.0	19.0
331.0	13.0
332.0	19.0
333.0	20.0
334.0	18.0
335.0	18.0
336.0	29.0
337.0	19.0
338.0	12.0
339.0	15.0
340.0	18.0
341.0	12.0
342.0	13.0
343.0	14.0
344.0	20.0
345.0	18.0
346.0	18.0
347.0	11.0
348.0	16.0
349.0	19.0
350.0	15.0
351.0	17.0
352.0	21.0
353.0	6.0
354.0	11.0
355.0	15.0
356.0	7.0
357.0	11.0
358.0	5.0
359.0	7.0
360.0	3.0
361.0	5.0
362.0	2.0
363.0	4.0
364.0	4.0
366.0	2.0
370.0	1.0
371.0	2.0
377.0	1.0
392.0	1.0
404.0	1.0
426.0	1.0
441.0	1.0
498.0	1.0
520.0	1.0
522.0	1.0
524.0	1.0
543.0	1.0
