CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	0	24	0.00	24
2	3	21	12.50	24
3	2	22	8.33	24
4	1	23	4.17	24
5	3	22	12.00	25
6	1	24	4.00	25
7	3	25	10.71	28
8	1	24	4.00	25
9	3	25	10.71	28
10	0	25	0.00	25
11	1	25	3.85	26
12	2	25	7.41	27
13	0	25	0.00	25
14	0	25	0.00	25
15	2	25	7.41	27
16	2	25	7.41	27
17	2	24	7.69	26
18	1	24	4.00	25
19	2	25	7.41	27
20	1	25	3.85	26
21	1	25	3.85	26
22	0	25	0.00	25
23	0	25	0.00	25
24	0	25	0.00	25
25	0	25	0.00	25
26	2	25	7.41	27
27	1	25	3.85	26
28	0	25	0.00	25
29	2	23	8.00	25
30	0	23	0.00	23
31	2	23	8.00	25
32	2	23	8.00	25
33	0	22	0.00	22
34	1	22	4.35	23
35	0	23	0.00	23
36	1	22	4.35	23

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	30	9.09	33
2	1	28	3.45	29
3	4	26	13.33	30
4	1	30	3.23	31
5	3	27	10.00	30
6	1	29	3.33	30
7	0	29	0.00	29
8	1	28	3.45	29
9	1	26	3.70	27
10	1	29	3.33	30
11	1	29	3.33	30
12	1	28	3.45	29
13	1	28	3.45	29
14	0	29	0.00	29
15	1	29	3.33	30
16	1	28	3.45	29
17	0	28	0.00	28
18	0	29	0.00	29
19	0	29	0.00	29
20	1	28	3.45	29
21	0	28	0.00	28
22	1	28	3.45	29
23	0	27	0.00	27
24	1	28	3.45	29
25	2	28	6.67	30
26	1	28	3.45	29
27	1	27	3.57	28
28	1	27	3.57	28
29	1	26	3.70	27
30	1	26	3.70	27
31	1	27	3.57	28
32	1	27	3.57	28
33	0	27	0.00	27
34	2	27	6.90	29
35	0	25	0.00	25
36	1	25	3.85	26

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	25	3.85	26
2	1	26	3.70	27
3	0	27	0.00	27
4	0	27	0.00	27
5	2	26	7.14	28
6	0	26	0.00	26
7	3	25	10.71	28
8	0	26	0.00	26
9	1	26	3.70	27
10	1	26	3.70	27
11	1	26	3.70	27
12	0	25	0.00	25
13	3	26	10.34	29
14	0	26	0.00	26
15	2	26	7.14	28
16	0	26	0.00	26
17	2	27	6.90	29
18	0	26	0.00	26
19	2	26	7.14	28
20	0	26	0.00	26
21	3	26	10.34	29
22	2	25	7.41	27
23	3	25	10.71	28
24	0	25	0.00	25
25	1	26	3.70	27
26	1	25	3.85	26
27	3	24	11.11	27
28	3	27	10.00	30
29	3	28	9.68	31
30	3	27	10.00	30
31	3	27	10.00	30
32	1	27	3.57	28
33	1	27	3.57	28
34	0	26	0.00	26
35	1	26	3.70	27
36	2	23	8.00	25

