#Coverage	Number of genomic locations
0.0	801772.0
1.0	2.0
2.0	1.0
4.0	10.0
5.0	1.0
6.0	5.0
7.0	14.0
8.0	9.0
9.0	20.0
10.0	15.0
11.0	17.0
12.0	16.0
13.0	28.0
14.0	38.0
15.0	54.0
16.0	63.0
17.0	66.0
18.0	90.0
19.0	113.0
20.0	84.0
21.0	73.0
22.0	59.0
23.0	54.0
24.0	61.0
25.0	69.0
26.0	76.0
27.0	78.0
28.0	81.0
29.0	68.0
30.0	105.0
31.0	62.0
32.0	47.0
33.0	40.0
34.0	34.0
35.0	44.0
36.0	51.0
37.0	45.0
38.0	72.0
39.0	66.0
40.0	55.0
41.0	47.0
42.0	56.0
43.0	29.0
44.0	27.0
45.0	35.0
46.0	37.0
47.0	21.0
48.0	7.0
49.0	19.0
50.0	5.0
51.0	12.0
52.0	17.0
53.0	20.0
54.0	9.0
55.0	31.0
56.0	18.0
57.0	14.0
58.0	5.0
59.0	15.0
60.0	12.0
61.0	5.0
62.0	2.0
63.0	16.0
64.0	16.0
65.0	21.0
66.0	21.0
67.0	15.0
68.0	13.0
69.0	10.0
70.0	17.0
71.0	17.0
72.0	24.0
73.0	11.0
74.0	7.0
75.0	10.0
76.0	11.0
77.0	2.0
78.0	6.0
79.0	3.0
80.0	2.0
81.0	3.0
82.0	5.0
85.0	1.0
86.0	2.0
87.0	2.0
88.0	7.0
89.0	8.0
90.0	8.0
91.0	12.0
92.0	6.0
93.0	4.0
94.0	4.0
95.0	4.0
96.0	4.0
97.0	2.0
98.0	11.0
99.0	10.0
100.0	2.0
101.0	3.0
102.0	1.0
104.0	3.0
105.0	3.0
106.0	8.0
107.0	7.0
108.0	19.0
109.0	17.0
110.0	11.0
111.0	12.0
112.0	17.0
113.0	8.0
114.0	12.0
115.0	10.0
116.0	15.0
117.0	12.0
118.0	16.0
119.0	22.0
120.0	24.0
121.0	11.0
122.0	7.0
123.0	4.0
124.0	4.0
126.0	4.0
127.0	5.0
128.0	8.0
129.0	6.0
130.0	8.0
131.0	9.0
132.0	10.0
133.0	5.0
134.0	11.0
135.0	3.0
136.0	4.0
137.0	5.0
138.0	4.0
139.0	5.0
140.0	9.0
141.0	5.0
142.0	6.0
143.0	4.0
144.0	5.0
145.0	10.0
146.0	9.0
147.0	3.0
148.0	2.0
150.0	2.0
151.0	4.0
152.0	3.0
153.0	5.0
154.0	6.0
155.0	9.0
156.0	12.0
157.0	15.0
158.0	14.0
159.0	11.0
160.0	13.0
161.0	11.0
162.0	7.0
163.0	9.0
164.0	2.0
165.0	5.0
166.0	5.0
167.0	5.0
168.0	1.0
169.0	4.0
170.0	3.0
171.0	5.0
172.0	4.0
173.0	5.0
174.0	4.0
176.0	1.0
177.0	4.0
178.0	3.0
179.0	2.0
