#Insert size (bp)	insert size
82.0	2.0
92.0	1.0
97.0	1.0
99.0	1.0
102.0	1.0
109.0	1.0
110.0	1.0
111.0	2.0
113.0	1.0
114.0	1.0
120.0	2.0
125.0	1.0
133.0	2.0
135.0	1.0
137.0	1.0
138.0	1.0
139.0	1.0
142.0	1.0
143.0	1.0
145.0	1.0
147.0	1.0
148.0	2.0
149.0	1.0
154.0	1.0
157.0	1.0
158.0	1.0
161.0	1.0
163.0	1.0
167.0	1.0
169.0	2.0
170.0	1.0
171.0	1.0
173.0	1.0
174.0	1.0
178.0	1.0
179.0	1.0
181.0	1.0
184.0	2.0
186.0	1.0
188.0	3.0
189.0	1.0
195.0	2.0
198.0	1.0
201.0	1.0
203.0	1.0
204.0	1.0
206.0	1.0
207.0	1.0
208.0	1.0
211.0	2.0
213.0	1.0
221.0	1.0
223.0	1.0
225.0	2.0
226.0	2.0
227.0	2.0
232.0	4.0
234.0	1.0
238.0	1.0
239.0	1.0
241.0	3.0
245.0	1.0
248.0	1.0
249.0	1.0
250.0	1.0
251.0	2.0
253.0	3.0
254.0	1.0
255.0	2.0
256.0	1.0
257.0	3.0
258.0	2.0
259.0	5.0
260.0	1.0
262.0	3.0
263.0	3.0
264.0	1.0
265.0	3.0
266.0	3.0
267.0	3.0
268.0	1.0
269.0	3.0
270.0	7.0
271.0	4.0
272.0	3.0
273.0	1.0
275.0	1.0
276.0	1.0
277.0	2.0
278.0	1.0
279.0	2.0
280.0	2.0
281.0	3.0
282.0	1.0
284.0	2.0
285.0	4.0
286.0	4.0
287.0	2.0
288.0	2.0
289.0	2.0
290.0	3.0
291.0	3.0
292.0	1.0
293.0	1.0
294.0	3.0
295.0	3.0
296.0	3.0
297.0	4.0
298.0	3.0
299.0	2.0
300.0	3.0
301.0	1.0
303.0	2.0
304.0	2.0
305.0	2.0
306.0	1.0
307.0	6.0
308.0	2.0
309.0	3.0
310.0	4.0
311.0	3.0
312.0	6.0
313.0	5.0
314.0	3.0
315.0	5.0
316.0	3.0
317.0	5.0
318.0	5.0
319.0	5.0
320.0	6.0
321.0	13.0
322.0	4.0
323.0	6.0
324.0	5.0
325.0	8.0
326.0	16.0
327.0	12.0
328.0	8.0
329.0	11.0
330.0	12.0
331.0	25.0
332.0	16.0
333.0	19.0
334.0	18.0
335.0	11.0
336.0	22.0
337.0	13.0
338.0	33.0
339.0	20.0
340.0	14.0
341.0	7.0
342.0	19.0
343.0	17.0
344.0	20.0
345.0	16.0
346.0	17.0
347.0	13.0
348.0	15.0
349.0	11.0
350.0	8.0
351.0	11.0
352.0	14.0
353.0	5.0
354.0	13.0
355.0	8.0
356.0	10.0
357.0	8.0
358.0	10.0
359.0	7.0
360.0	8.0
361.0	2.0
362.0	3.0
363.0	3.0
364.0	2.0
365.0	3.0
366.0	1.0
368.0	1.0
375.0	1.0
388.0	1.0
414.0	1.0
417.0	1.0
421.0	1.0
423.0	1.0
424.0	1.0
432.0	1.0
441.0	1.0
448.0	1.0
463.0	1.0
465.0	1.0
478.0	1.0
550.0	1.0
605.0	1.0
