#Insert size (bp)	insert size
106.0	1.0
123.0	1.0
131.0	1.0
136.0	1.0
162.0	1.0
178.0	1.0
211.0	1.0
218.0	1.0
229.0	1.0
244.0	1.0
263.0	1.0
269.0	1.0
275.0	1.0
284.0	1.0
286.0	1.0
298.0	1.0
299.0	1.0
308.0	1.0
309.0	1.0
314.0	1.0
318.0	1.0
324.0	1.0
328.0	1.0
329.0	1.0
331.0	1.0
332.0	1.0
333.0	1.0
334.0	3.0
335.0	2.0
336.0	3.0
338.0	6.0
339.0	1.0
343.0	3.0
344.0	2.0
345.0	3.0
346.0	3.0
347.0	2.0
349.0	2.0
350.0	2.0
351.0	1.0
352.0	3.0
353.0	2.0
354.0	2.0
355.0	2.0
356.0	1.0
357.0	1.0
359.0	2.0
360.0	2.0
361.0	2.0
362.0	5.0
363.0	2.0
369.0	1.0
371.0	1.0
