#Position (bp)	Coverage	Std
61.5	0.0	0.0
183.5	0.0	0.0
305.5	0.0	0.0
427.5	0.0	0.0
549.5	0.0	0.0
671.5	0.0	0.0
793.5	0.0	0.0
915.5	0.0	0.0
1037.5	0.0	0.0
1159.5	0.0	0.0
1281.5	0.0	0.0
1403.5	0.0	0.0
1525.5	0.0	0.0
1647.5	0.0	0.0
1769.5	0.0	0.0
1891.5	0.0	0.0
2013.5	0.0	0.0
2135.5	0.0	0.0
2257.5	0.0	0.0
2379.5	0.0	0.0
2501.5	0.0	0.0
2623.5	0.0	0.0
2745.5	0.0	0.0
2867.5	0.0	0.0
2989.5	0.0	0.0
3111.5	0.0	0.0
3233.5	0.0	0.0
3355.5	0.0	0.0
3477.5	0.0	0.0
3599.5	0.0	0.0
3721.5	0.0	0.0
3843.5	0.0	0.0
3965.5	0.0	0.0
4087.5	0.0	0.0
4209.5	0.0	0.0
4331.5	0.0	0.0
4453.5	0.0	0.0
4575.5	0.0	0.0
4697.5	0.0	0.0
4819.5	0.0	0.0
4941.5	21.78688524590164	16.82503988741527
5063.5	19.885245901639344	16.813343646941973
5185.5	0.0	0.0
5307.5	0.0	0.0
5429.5	0.0	0.0
5551.5	0.0	0.0
5673.5	0.0	0.0
5795.5	0.0	0.0
5917.5	0.0	0.0
6039.5	0.0	0.0
6161.5	0.0	0.0
6283.5	0.0	0.0
6405.5	0.0	0.0
6527.5	0.0	0.0
6649.5	0.0	0.0
6771.5	0.0	0.0
6893.5	0.0	0.0
7015.5	0.0	0.0
7137.5	0.0	0.0
7259.5	0.0	0.0
7381.5	0.0	0.0
7503.5	0.0	0.0
7625.5	0.0	0.0
7747.5	0.0	0.0
7869.5	0.0	0.0
7991.5	0.0	0.0
8113.5	0.0	0.0
8235.5	0.0	0.0
8357.5	0.0	0.0
8479.5	0.0	0.0
8601.5	0.0	0.0
8723.5	0.0	0.0
8845.5	0.0	0.0
8967.5	0.0	0.0
9089.5	0.0	0.0
9211.5	0.0	0.0
9333.5	0.0	0.0
9455.5	0.0	0.0
9577.5	0.0	0.0
9699.5	0.0	0.0
9821.5	0.0	0.0
9943.5	0.0	0.0
10065.5	0.0	0.0
10187.5	0.0	0.0
10309.5	0.0	0.0
10431.5	0.0	0.0
10553.5	0.0	0.0
10675.5	0.0	0.0
10797.5	0.0	0.0
10919.5	0.0	0.0
11041.5	0.0	0.0
11163.5	0.0	0.0
11285.5	0.0	0.0
11407.5	0.0	0.0
11529.5	0.0	0.0
11651.5	0.0	0.0
11773.5	0.0	0.0
11895.5	0.0	0.0
12017.5	0.0	0.0
12139.5	0.0	0.0
12261.5	0.0	0.0
12383.5	0.0	0.0
12505.5	0.0	0.0
12627.5	0.0	0.0
12749.5	0.0	0.0
12871.5	0.0	0.0
12993.5	0.0	0.0
13115.5	0.0	0.0
13237.5	0.0	0.0
13359.5	0.0	0.0
13481.5	0.0	0.0
13603.5	0.0	0.0
13725.5	0.0	0.0
13847.5	0.0	0.0
13969.5	0.0	0.0
14091.5	0.0	0.0
14213.5	0.0	0.0
14335.5	0.0	0.0
14457.5	0.0	0.0
14579.5	0.0	0.0
14701.5	0.0	0.0
14823.5	0.0	0.0
14945.5	0.0	0.0
15067.5	0.0	0.0
15189.5	0.0	0.0
15311.5	0.0	0.0
15433.5	0.0	0.0
15555.5	0.0	0.0
15677.5	0.0	0.0
15799.5	0.0	0.0
15921.5	0.0	0.0
16043.5	0.0	0.0
16165.5	0.0	0.0
16287.5	0.0	0.0
16409.5	0.0	0.0
16531.5	0.0	0.0
16653.5	0.0	0.0
16775.5	0.0	0.0
16897.5	0.0	0.0
17019.5	0.0	0.0
17141.5	0.0	0.0
17263.5	0.0	0.0
17385.5	0.0	0.0
17507.5	0.0	0.0
17629.5	0.0	0.0
17751.5	0.0	0.0
17873.5	0.0	0.0
17995.5	0.0	0.0
18117.5	0.0	0.0
18239.5	0.0	0.0
18361.5	0.0	0.0
18483.5	0.0	0.0
18605.5	0.0	0.0
18727.5	0.0	0.0
18849.5	0.0	0.0
18971.5	0.0	0.0
19093.5	0.0	0.0
19215.5	0.0	0.0
19337.5	0.0	0.0
19459.5	0.0	0.0
19581.5	0.0	0.0
19703.5	0.0	0.0
19825.5	0.0	0.0
19947.5	0.0	0.0
20069.5	0.0	0.0
20191.5	0.0	0.0
20313.5	0.0	0.0
20435.5	0.0	0.0
20557.5	0.0	0.0
20679.5	0.0	0.0
20801.5	0.0	0.0
20923.5	0.0	0.0
21045.5	0.0	0.0
21167.5	0.0	0.0
21289.5	0.0	0.0
21411.5	0.0	0.0
21533.5	0.0	0.0
21655.5	0.0	0.0
21777.5	0.0	0.0
21899.5	0.0	0.0
22021.5	0.0	0.0
22143.5	0.0	0.0
22265.5	0.0	0.0
22387.5	0.0	0.0
22509.5	0.0	0.0
22631.5	0.0	0.0
22753.5	0.0	0.0
22875.5	0.0	0.0
22997.5	0.0	0.0
23119.5	0.0	0.0
23241.5	0.0	0.0
23363.5	0.0	0.0
23485.5	0.0	0.0
23607.5	0.0	0.0
23729.5	0.0	0.0
23851.5	0.0	0.0
23973.5	0.0	0.0
24095.5	0.0	0.0
24217.5	0.0	0.0
24339.5	0.0	0.0
24461.5	0.0	0.0
24583.5	0.0	0.0
24705.5	0.0	0.0
24827.5	0.0	0.0
24949.5	0.0	0.0
25071.5	0.0	0.0
25193.5	0.0	0.0
25315.5	0.0	0.0
25437.5	0.0	0.0
25559.5	0.0	0.0
25681.5	0.0	0.0
25803.5	0.0	0.0
25925.5	0.0	0.0
26047.5	0.0	0.0
26169.5	0.0	0.0
26291.5	0.0	0.0
26413.5	0.0	0.0
26535.5	0.0	0.0
26657.5	0.0	0.0
26779.5	0.0	0.0
26901.5	0.0	0.0
27023.5	0.0	0.0
27145.5	0.0	0.0
27267.5	0.0	0.0
27389.5	0.0	0.0
27511.5	0.0	0.0
27633.5	0.0	0.0
27755.5	0.0	0.0
27877.5	0.0	0.0
27999.5	0.0	0.0
28121.5	0.0	0.0
28243.5	0.0	0.0
28365.5	0.0	0.0
28487.5	0.0	0.0
28609.5	0.0	0.0
28731.5	0.0	0.0
28853.5	0.0	0.0
28975.5	0.0	0.0
29097.5	0.0	0.0
29219.5	0.0	0.0
29341.5	0.0	0.0
29463.5	0.0	0.0
29585.5	0.0	0.0
29707.5	0.0	0.0
29829.5	0.0	0.0
29951.5	0.0	0.0
30073.5	0.0	0.0
30195.5	0.0	0.0
30317.5	0.0	0.0
30439.5	0.0	0.0
30561.5	0.0	0.0
30683.5	0.0	0.0
30805.5	0.0	0.0
30927.5	0.0	0.0
31049.5	0.0	0.0
31171.5	0.0	0.0
31293.5	0.0	0.0
31415.5	0.0	0.0
31537.5	0.0	0.0
31659.5	0.0	0.0
31781.5	0.0	0.0
31903.5	0.0	0.0
32025.5	0.0	0.0
32147.5	0.0	0.0
32269.5	0.0	0.0
32391.5	0.0	0.0
32513.5	0.0	0.0
32635.5	0.0	0.0
32757.5	0.0	0.0
32879.5	0.0	0.0
33001.5	0.0	0.0
33123.5	0.0	0.0
33245.5	0.0	0.0
33367.5	0.0	0.0
33489.5	0.0	0.0
33611.5	0.0	0.0
33733.5	0.0	0.0
33855.5	0.0	0.0
33977.5	0.0	0.0
34099.5	0.0	0.0
34221.5	0.0	0.0
34343.5	0.0	0.0
34465.5	0.0	0.0
34587.5	0.0	0.0
34709.5	0.0	0.0
34831.5	0.0	0.0
34953.5	0.0	0.0
35075.5	0.0	0.0
35197.5	0.0	0.0
35319.5	0.0	0.0
35441.5	0.0	0.0
35563.5	0.0	0.0
35685.5	0.0	0.0
35807.5	0.0	0.0
35929.5	0.0	0.0
36051.5	0.0	0.0
36173.5	0.0	0.0
36295.5	0.0	0.0
36417.5	0.0	0.0
36539.5	0.0	0.0
36661.5	0.0	0.0
36783.5	0.0	0.0
36905.5	0.0	0.0
37027.5	0.0	0.0
37149.5	0.0	0.0
37271.5	0.0	0.0
37393.5	0.0	0.0
37515.5	0.0	0.0
37637.5	0.0	0.0
37759.5	0.0	0.0
37881.5	0.0	0.0
38003.5	0.0	0.0
38125.5	0.0	0.0
38247.5	0.0	0.0
38369.5	0.0	0.0
38491.5	0.0	0.0
38613.5	0.0	0.0
38735.5	0.0	0.0
38857.5	0.0	0.0
38979.5	0.0	0.0
39101.5	0.0	0.0
39223.5	0.0	0.0
39345.5	0.0	0.0
39467.5	0.0	0.0
39589.5	28.89344262295082	16.770632020310256
39711.5	19.30327868852459	16.26950279853307
39833.5	0.0	0.0
39955.5	0.0	0.0
40077.5	0.0	0.0
40199.5	0.0	0.0
40321.5	0.0	0.0
40443.5	0.0	0.0
40565.5	0.0	0.0
40687.5	0.0	0.0
40809.5	0.0	0.0
40931.5	0.0	0.0
41053.5	0.0	0.0
41175.5	0.0	0.0
41297.5	0.0	0.0
41419.5	0.0	0.0
41541.5	0.0	0.0
41663.5	0.0	0.0
41785.5	0.0	0.0
41907.5	0.0	0.0
42029.5	0.0	0.0
42151.5	0.0	0.0
42273.5	0.0	0.0
42395.5	0.0	0.0
42517.5	0.0	0.0
42639.5	0.0	0.0
42761.5	0.0	0.0
42883.5	0.0	0.0
43005.5	0.0	0.0
43127.5	0.0	0.0
43249.5	0.0	0.0
43371.5	0.0	0.0
43493.5	0.0	0.0
43615.5	0.0	0.0
43737.5	0.0	0.0
43859.5	0.0	0.0
43981.5	0.0	0.0
44103.5	0.0	0.0
44225.5	0.0	0.0
44347.5	0.0	0.0
44469.5	0.0	0.0
44591.5	0.0	0.0
44713.5	0.0	0.0
44835.5	0.0	0.0
44957.5	0.0	0.0
45079.5	0.0	0.0
45201.5	0.0	0.0
45323.5	0.0	0.0
45445.5	0.0	0.0
45567.5	0.0	0.0
45689.5	0.0	0.0
45811.5	0.0	0.0
45933.5	0.0	0.0
46055.5	0.0	0.0
46177.5	0.0	0.0
46299.5	0.0	0.0
46421.5	0.0	0.0
46543.5	0.0	0.0
46665.5	0.0	0.0
46787.5	0.0	0.0
46909.5	0.0	0.0
47031.5	0.0	0.0
47153.5	0.0	0.0
47275.5	0.0	0.0
47397.5	0.0	0.0
47519.5	0.0	0.0
47641.5	0.0	0.0
47763.5	0.0	0.0
47885.5	0.0	0.0
48007.5	0.0	0.0
48129.5	0.0	0.0
48251.5	0.0	0.0
48373.5	0.0	0.0
48468.5	0.0	0.0
